"Tabela 6773 - Número de estabelecimentos agropecuários e Área dos estabelecimentos agropecuários, por tipologia, condição legal do produtor, residência da pessoa que dirige o estabelecimento, finalidade principal da produção agropecuária do estabelecimento, renda obtida com as atividades desenvolvidas no estabelecimento e associação do produtor à cooperativa e/ou à entidade de classe - Ranking ascendente"
"Variável - Número de estabelecimentos agropecuários (Unidades)"
"Cód.";"Brasil e Município";"Finalidade principal da produção agropecuária do estabelecimento";"Renda obtida com as atividades desenvolvidas no estabelecimento";"#";"Associação do produtor à cooperativa e/ou à entidade de classe";"Ano x Tipologia x Condição legal do produtor x Residência da pessoa que dirige o estabelecimento"
"1704105";"Centenário (TO)";"Total";"Total";"1";"Total";"340"
"1704600";"Chapada de Areia (TO)";"Total";"Total";"1";"Total";"218"
"1705102";"Chapada da Natividade (TO)";"Total";"Total";"1";"Total";"396"
"1705508";"Colinas do Tocantins (TO)";"Total";"Total";"1";"Total";"386"
"1705557";"Combinado (TO)";"Total";"Total";"1";"Total";"188"
"1705607";"Conceição do Tocantins (TO)";"Total";"Total";"1";"Total";"340"
"1706001";"Couto Magalhães (TO)";"Total";"Total";"1";"Total";"765"
"1706100";"Cristalândia (TO)";"Total";"Total";"1";"Total";"483"
"1706258";"Crixás do Tocantins (TO)";"Total";"Total";"1";"Total";"175"
"1706506";"Darcinópolis (TO)";"Total";"Total";"1";"Total";"294"
"1707009";"Dianópolis (TO)";"Total";"Total";"1";"Total";"453"
"1707108";"Divinópolis do Tocantins (TO)";"Total";"Total";"1";"Total";"722"
"1707207";"Dois Irmãos do Tocantins (TO)";"Total";"Total";"1";"Total";"1157"
"1707306";"Dueré (TO)";"Total";"Total";"1";"Total";"497"
"1707405";"Esperantina (TO)";"Total";"Total";"1";"Total";"460"
"1707553";"Fátima (TO)";"Total";"Total";"1";"Total";"215"
"1707652";"Figueirópolis (TO)";"Total";"Total";"1";"Total";"449"
"1707702";"Filadélfia (TO)";"Total";"Total";"1";"Total";"697"
"1708205";"Formoso do Araguaia (TO)";"Total";"Total";"1";"Total";"1102"
"1708254";"Tabocão (TO)";"Total";"Total";"1";"Total";"106"
"1708304";"Goianorte (TO)";"Total";"Total";"1";"Total";"698"
"1709005";"Goiatins (TO)";"Total";"Total";"1";"Total";"909"
"1709302";"Guaraí (TO)";"Total";"Total";"1";"Total";"678"
"1709500";"Gurupi (TO)";"Total";"Total";"1";"Total";"626"
"1709807";"Ipueiras (TO)";"Total";"Total";"1";"Total";"171"
"1710508";"Itacajá (TO)";"Total";"Total";"1";"Total";"547"
"1710706";"Itaguatins (TO)";"Total";"Total";"1";"Total";"475"
"1710904";"Itapiratins (TO)";"Total";"Total";"1";"Total";"494"
"1711100";"Itaporã do Tocantins (TO)";"Total";"Total";"1";"Total";"283"
"1711506";"Jaú do Tocantins (TO)";"Total";"Total";"1";"Total";"624"
"1711803";"Juarina (TO)";"Total";"Total";"1";"Total";"313"
"1711902";"Lagoa da Confusão (TO)";"Total";"Total";"1";"Total";"490"
"1711951";"Lagoa do Tocantins (TO)";"Total";"Total";"1";"Total";"399"
"1712009";"Lajeado (TO)";"Total";"Total";"1";"Total";"125"
"1712157";"Lavandeira (TO)";"Total";"Total";"1";"Total";"181"
"1712405";"Lizarda (TO)";"Total";"Total";"1";"Total";"535"
"1712454";"Luzinópolis (TO)";"Total";"Total";"1";"Total";"215"
"1712504";"Marianópolis do Tocantins (TO)";"Total";"Total";"1";"Total";"670"
"1712702";"Mateiros (TO)";"Total";"Total";"1";"Total";"216"
"1712801";"Maurilândia do Tocantins (TO)";"Total";"Total";"1";"Total";"304"
"1713205";"Miracema do Tocantins (TO)";"Total";"Total";"1";"Total";"783"
"1713304";"Miranorte (TO)";"Total";"Total";"1";"Total";"504"
"1713601";"Monte do Carmo (TO)";"Total";"Total";"1";"Total";"832"
"1713700";"Monte Santo do Tocantins (TO)";"Total";"Total";"1";"Total";"389"
"1713809";"Palmeiras do Tocantins (TO)";"Total";"Total";"1";"Total";"546"
"1713957";"Muricilândia (TO)";"Total";"Total";"1";"Total";"246"
"1714203";"Natividade (TO)";"Total";"Total";"1";"Total";"359"
"1714302";"Nazaré (TO)";"Total";"Total";"1";"Total";"187"
"1714880";"Nova Olinda (TO)";"Total";"Total";"1";"Total";"719"
"1715002";"Nova Rosalândia (TO)";"Total";"Total";"1";"Total";"300"
"1715101";"Novo Acordo (TO)";"Total";"Total";"1";"Total";"197"
"1715150";"Novo Alegre (TO)";"Total";"Total";"1";"Total";"107"
"1715259";"Novo Jardim (TO)";"Total";"Total";"1";"Total";"174"
"1715507";"Oliveira de Fátima (TO)";"Total";"Total";"1";"Total";"82"
"1715705";"Palmeirante (TO)";"Total";"Total";"1";"Total";"724"
"1715754";"Palmeirópolis (TO)";"Total";"Total";"1";"Total";"570"
"1716109";"Paraíso do Tocantins (TO)";"Total";"Total";"1";"Total";"624"
"1716208";"Paranã (TO)";"Total";"Total";"1";"Total";"1469"
"1716307";"Pau D'Arco (TO)";"Total";"Total";"1";"Total";"421"
"1716505";"Pedro Afonso (TO)";"Total";"Total";"1";"Total";"376"
"1716604";"Peixe (TO)";"Total";"Total";"1";"Total";"889"
"1716653";"Pequizeiro (TO)";"Total";"Total";"1";"Total";"786"
"1716703";"Colméia (TO)";"Total";"Total";"1";"Total";"693"
"1717008";"Pindorama do Tocantins (TO)";"Total";"Total";"1";"Total";"791"
"1717206";"Piraquê (TO)";"Total";"Total";"1";"Total";"430"
"1717503";"Pium (TO)";"Total";"Total";"1";"Total";"599"
"1717800";"Ponte Alta do Bom Jesus (TO)";"Total";"Total";"1";"Total";"372"
"1717909";"Ponte Alta do Tocantins (TO)";"Total";"Total";"1";"Total";"774"
"1718006";"Porto Alegre do Tocantins (TO)";"Total";"Total";"1";"Total";"146"
"1718204";"Porto Nacional (TO)";"Total";"Total";"1";"Total";"1730"
"1718303";"Praia Norte (TO)";"Total";"Total";"1";"Total";"190"
"1718402";"Presidente Kennedy (TO)";"Total";"Total";"1";"Total";"165"
"1718451";"Pugmil (TO)";"Total";"Total";"1";"Total";"161"
"1718501";"Recursolândia (TO)";"Total";"Total";"1";"Total";"404"
"1718550";"Riachinho (TO)";"Total";"Total";"1";"Total";"490"
"1718659";"Rio da Conceição (TO)";"Total";"Total";"1";"Total";"26"
"1718709";"Rio dos Bois (TO)";"Total";"Total";"1";"Total";"375"
"1718758";"Rio Sono (TO)";"Total";"Total";"1";"Total";"1197"
"1718808";"Sampaio (TO)";"Total";"Total";"1";"Total";"330"
"1718840";"Sandolândia (TO)";"Total";"Total";"1";"Total";"419"
"1718865";"Santa Fé do Araguaia (TO)";"Total";"Total";"1";"Total";"315"
"1718881";"Santa Maria do Tocantins (TO)";"Total";"Total";"1";"Total";"413"
"1718899";"Santa Rita do Tocantins (TO)";"Total";"Total";"1";"Total";"460"
"1718907";"Santa Rosa do Tocantins (TO)";"Total";"Total";"1";"Total";"540"
"1719004";"Santa Tereza do Tocantins (TO)";"Total";"Total";"1";"Total";"287"
"1720002";"Santa Terezinha do Tocantins (TO)";"Total";"Total";"1";"Total";"128"
"1720101";"São Bento do Tocantins (TO)";"Total";"Total";"1";"Total";"399"
"1720150";"São Félix do Tocantins (TO)";"Total";"Total";"1";"Total";"134"
"1720200";"São Miguel do Tocantins (TO)";"Total";"Total";"1";"Total";"280"
"1720259";"São Salvador do Tocantins (TO)";"Total";"Total";"1";"Total";"305"
"1720309";"São Sebastião do Tocantins (TO)";"Total";"Total";"1";"Total";"277"
"1720499";"São Valério (TO)";"Total";"Total";"1";"Total";"473"
"1720655";"Silvanópolis (TO)";"Total";"Total";"1";"Total";"366"
"1720804";"Sítio Novo do Tocantins (TO)";"Total";"Total";"1";"Total";"323"
"1720853";"Sucupira (TO)";"Total";"Total";"1";"Total";"144"
"1720903";"Taguatinga (TO)";"Total";"Total";"1";"Total";"764"
"1720937";"Taipas do Tocantins (TO)";"Total";"Total";"1";"Total";"98"
"1720978";"Talismã (TO)";"Total";"Total";"1";"Total";"331"
"1721000";"Palmas (TO)";"Total";"Total";"1";"Total";"1233"
"1721109";"Tocantínia (TO)";"Total";"Total";"1";"Total";"690"
"1721208";"Tocantinópolis (TO)";"Total";"Total";"1";"Total";"220"
"1721257";"Tupirama (TO)";"Total";"Total";"1";"Total";"142"
"1721307";"Tupiratins (TO)";"Total";"Total";"1";"Total";"275"
"1722081";"Wanderlândia (TO)";"Total";"Total";"1";"Total";"484"
"1722107";"Xambioá (TO)";"Total";"Total";"1";"Total";"464"
"2100055";"Açailândia (MA)";"Total";"Total";"1";"Total";"1617"
"2100105";"Afonso Cunha (MA)";"Total";"Total";"1";"Total";"280"
"2100154";"Água Doce do Maranhão (MA)";"Total";"Total";"1";"Total";"790"
"2100204";"Alcântara (MA)";"Total";"Total";"1";"Total";"1570"
"2100303";"Aldeias Altas (MA)";"Total";"Total";"1";"Total";"1362"
"2100402";"Altamira do Maranhão (MA)";"Total";"Total";"1";"Total";"413"
"2100436";"Alto Alegre do Maranhão (MA)";"Total";"Total";"1";"Total";"209"
"2100477";"Alto Alegre do Pindaré (MA)";"Total";"Total";"1";"Total";"747"
"2100501";"Alto Parnaíba (MA)";"Total";"Total";"1";"Total";"447"
"2100550";"Amapá do Maranhão (MA)";"Total";"Total";"1";"Total";"210"
"2100600";"Amarante do Maranhão (MA)";"Total";"Total";"1";"Total";"2305"
"2100709";"Anajatuba (MA)";"Total";"Total";"1";"Total";"1662"
"2100808";"Anapurus (MA)";"Total";"Total";"1";"Total";"1114"
"2100832";"Apicum-Açu (MA)";"Total";"Total";"1";"Total";"173"
"2100873";"Araguanã (MA)";"Total";"Total";"1";"Total";"529"
"2100907";"Araioses (MA)";"Total";"Total";"1";"Total";"2266"
"2100956";"Arame (MA)";"Total";"Total";"1";"Total";"1402"
"2101004";"Arari (MA)";"Total";"Total";"1";"Total";"1260"
"2101103";"Axixá (MA)";"Total";"Total";"1";"Total";"695"
"2101202";"Bacabal (MA)";"Total";"Total";"1";"Total";"1964"
"2101251";"Bacabeira (MA)";"Total";"Total";"1";"Total";"166"
"2101301";"Bacuri (MA)";"Total";"Total";"1";"Total";"437"
"2101350";"Bacurituba (MA)";"Total";"Total";"1";"Total";"416"
"2101400";"Balsas (MA)";"Total";"Total";"1";"Total";"1488"
"2101509";"Barão de Grajaú (MA)";"Total";"Total";"1";"Total";"872"
"2101608";"Barra do Corda (MA)";"Total";"Total";"1";"Total";"2459"
"2101707";"Barreirinhas (MA)";"Total";"Total";"1";"Total";"2457"
"2101731";"Belágua (MA)";"Total";"Total";"1";"Total";"892"
"2101772";"Bela Vista do Maranhão (MA)";"Total";"Total";"1";"Total";"201"
"2101806";"Benedito Leite (MA)";"Total";"Total";"1";"Total";"363"
"2101905";"Bequimão (MA)";"Total";"Total";"1";"Total";"2009"
"2101939";"Bernardo do Mearim (MA)";"Total";"Total";"1";"Total";"456"
"2101970";"Boa Vista do Gurupi (MA)";"Total";"Total";"1";"Total";"188"
"2102002";"Bom Jardim (MA)";"Total";"Total";"1";"Total";"1044"
"2102036";"Bom Jesus das Selvas (MA)";"Total";"Total";"1";"Total";"781"
"2102077";"Bom Lugar (MA)";"Total";"Total";"1";"Total";"900"
"2102101";"Brejo (MA)";"Total";"Total";"1";"Total";"2416"
"2102150";"Brejo de Areia (MA)";"Total";"Total";"1";"Total";"697"
"2102200";"Buriti (MA)";"Total";"Total";"1";"Total";"2946"
"2102309";"Buriti Bravo (MA)";"Total";"Total";"1";"Total";"899"
"2102325";"Buriticupu (MA)";"Total";"Total";"1";"Total";"837"
"2102358";"Buritirana (MA)";"Total";"Total";"1";"Total";"588"
"2102374";"Cachoeira Grande (MA)";"Total";"Total";"1";"Total";"904"
"2102408";"Cajapió (MA)";"Total";"Total";"1";"Total";"781"
"2102507";"Cajari (MA)";"Total";"Total";"1";"Total";"2149"
"2102556";"Campestre do Maranhão (MA)";"Total";"Total";"1";"Total";"207"
"2102606";"Cândido Mendes (MA)";"Total";"Total";"1";"Total";"433"
"2102705";"Cantanhede (MA)";"Total";"Total";"1";"Total";"1369"
"2102754";"Capinzal do Norte (MA)";"Total";"Total";"1";"Total";"746"
"2102804";"Carolina (MA)";"Total";"Total";"1";"Total";"1253"
"2102903";"Carutapera (MA)";"Total";"Total";"1";"Total";"379"
"2103000";"Caxias (MA)";"Total";"Total";"1";"Total";"4567"
"2103109";"Cedral (MA)";"Total";"Total";"1";"Total";"401"
"2103125";"Central do Maranhão (MA)";"Total";"Total";"1";"Total";"367"
"2103158";"Centro do Guilherme (MA)";"Total";"Total";"1";"Total";"425"
"2103174";"Centro Novo do Maranhão (MA)";"Total";"Total";"1";"Total";"536"
"2103208";"Chapadinha (MA)";"Total";"Total";"1";"Total";"4314"
"2103257";"Cidelândia (MA)";"Total";"Total";"1";"Total";"816"
"2103307";"Codó (MA)";"Total";"Total";"1";"Total";"4808"
"2103406";"Coelho Neto (MA)";"Total";"Total";"1";"Total";"974"
"2103505";"Colinas (MA)";"Total";"Total";"1";"Total";"1198"
"2103554";"Conceição do Lago-Açu (MA)";"Total";"Total";"1";"Total";"484"
"2103604";"Coroatá (MA)";"Total";"Total";"1";"Total";"2826"
"2103703";"Cururupu (MA)";"Total";"Total";"1";"Total";"443"
"2103752";"Davinópolis (MA)";"Total";"Total";"1";"Total";"214"
"2103802";"Dom Pedro (MA)";"Total";"Total";"1";"Total";"631"
"2103901";"Duque Bacelar (MA)";"Total";"Total";"1";"Total";"263"
"2104008";"Esperantinópolis (MA)";"Total";"Total";"1";"Total";"1423"
"2104057";"Estreito (MA)";"Total";"Total";"1";"Total";"1327"
"2104073";"Feira Nova do Maranhão (MA)";"Total";"Total";"1";"Total";"1019"
"2104081";"Fernando Falcão (MA)";"Total";"Total";"1";"Total";"758"
"2104099";"Formosa da Serra Negra (MA)";"Total";"Total";"1";"Total";"1949"
"2104107";"Fortaleza dos Nogueiras (MA)";"Total";"Total";"1";"Total";"1088"
"2104206";"Fortuna (MA)";"Total";"Total";"1";"Total";"317"
"2104305";"Godofredo Viana (MA)";"Total";"Total";"1";"Total";"226"
"2104404";"Gonçalves Dias (MA)";"Total";"Total";"1";"Total";"1023"
"2104503";"Governador Archer (MA)";"Total";"Total";"1";"Total";"410"
"2104552";"Governador Edison Lobão (MA)";"Total";"Total";"1";"Total";"314"
"2104602";"Governador Eugênio Barros (MA)";"Total";"Total";"1";"Total";"1114"
"2104628";"Governador Luiz Rocha (MA)";"Total";"Total";"1";"Total";"179"
"2104651";"Governador Newton Bello (MA)";"Total";"Total";"1";"Total";"315"
"2104677";"Governador Nunes Freire (MA)";"Total";"Total";"1";"Total";"550"
"2104701";"Graça Aranha (MA)";"Total";"Total";"1";"Total";"459"
"2104800";"Grajaú (MA)";"Total";"Total";"1";"Total";"3216"
"2104909";"Guimarães (MA)";"Total";"Total";"1";"Total";"449"
"2105005";"Humberto de Campos (MA)";"Total";"Total";"1";"Total";"853"
"2105104";"Icatu (MA)";"Total";"Total";"1";"Total";"1429"
"2105153";"Igarapé do Meio (MA)";"Total";"Total";"1";"Total";"361"
"2105203";"Igarapé Grande (MA)";"Total";"Total";"1";"Total";"661"
"2105302";"Imperatriz (MA)";"Total";"Total";"1";"Total";"709"
"2105351";"Itaipava do Grajaú (MA)";"Total";"Total";"1";"Total";"799"
"2105401";"Itapecuru Mirim (MA)";"Total";"Total";"1";"Total";"2131"
"2105427";"Itinga do Maranhão (MA)";"Total";"Total";"1";"Total";"655"
"2105450";"Jatobá (MA)";"Total";"Total";"1";"Total";"528"
"2105476";"Jenipapo dos Vieiras (MA)";"Total";"Total";"1";"Total";"932"
"2105500";"João Lisboa (MA)";"Total";"Total";"1";"Total";"679"
"2105609";"Joselândia (MA)";"Total";"Total";"1";"Total";"1146"
"2105658";"Junco do Maranhão (MA)";"Total";"Total";"1";"Total";"195"
"2105708";"Lago da Pedra (MA)";"Total";"Total";"1";"Total";"1010"
"2105807";"Lago do Junco (MA)";"Total";"Total";"1";"Total";"674"
"2105906";"Lago Verde (MA)";"Total";"Total";"1";"Total";"615"
"2105922";"Lagoa do Mato (MA)";"Total";"Total";"1";"Total";"1012"
"2105948";"Lago dos Rodrigues (MA)";"Total";"Total";"1";"Total";"496"
"2105963";"Lagoa Grande do Maranhão (MA)";"Total";"Total";"1";"Total";"595"
"2105989";"Lajeado Novo (MA)";"Total";"Total";"1";"Total";"691"
"2106003";"Lima Campos (MA)";"Total";"Total";"1";"Total";"719"
"2106102";"Loreto (MA)";"Total";"Total";"1";"Total";"579"
"2106201";"Luís Domingues (MA)";"Total";"Total";"1";"Total";"273"
"2106300";"Magalhães de Almeida (MA)";"Total";"Total";"1";"Total";"930"
"2106326";"Maracaçumé (MA)";"Total";"Total";"1";"Total";"197"
"2106359";"Marajá do Sena (MA)";"Total";"Total";"1";"Total";"382"
"2106375";"Maranhãozinho (MA)";"Total";"Total";"1";"Total";"427"
"2106409";"Mata Roma (MA)";"Total";"Total";"1";"Total";"1074"
"2106508";"Matinha (MA)";"Total";"Total";"1";"Total";"2012"
"2106607";"Matões (MA)";"Total";"Total";"1";"Total";"2280"
"2106631";"Matões do Norte (MA)";"Total";"Total";"1";"Total";"595"
"2106672";"Milagres do Maranhão (MA)";"Total";"Total";"1";"Total";"1183"
"2106706";"Mirador (MA)";"Total";"Total";"1";"Total";"1566"
"2106755";"Miranda do Norte (MA)";"Total";"Total";"1";"Total";"260"
"2106805";"Mirinzal (MA)";"Total";"Total";"1";"Total";"707"
"2106904";"Monção (MA)";"Total";"Total";"1";"Total";"934"
"2107001";"Montes Altos (MA)";"Total";"Total";"1";"Total";"717"
"2107100";"Morros (MA)";"Total";"Total";"1";"Total";"1266"
"2107209";"Nina Rodrigues (MA)";"Total";"Total";"1";"Total";"660"
"2107258";"Nova Colinas (MA)";"Total";"Total";"1";"Total";"343"
"2107308";"Nova Iorque (MA)";"Total";"Total";"1";"Total";"138"
"2107357";"Nova Olinda do Maranhão (MA)";"Total";"Total";"1";"Total";"760"
"2107407";"Olho d'Água das Cunhãs (MA)";"Total";"Total";"1";"Total";"451"
"2107456";"Olinda Nova do Maranhão (MA)";"Total";"Total";"1";"Total";"1052"
"2107506";"Paço do Lumiar (MA)";"Total";"Total";"1";"Total";"919"
"2107605";"Palmeirândia (MA)";"Total";"Total";"1";"Total";"1924"
"2107704";"Paraibano (MA)";"Total";"Total";"1";"Total";"627"
"2107803";"Parnarama (MA)";"Total";"Total";"1";"Total";"1771"
"2107902";"Passagem Franca (MA)";"Total";"Total";"1";"Total";"1258"
"2108009";"Pastos Bons (MA)";"Total";"Total";"1";"Total";"668"
"2108058";"Paulino Neves (MA)";"Total";"Total";"1";"Total";"947"
"2108108";"Paulo Ramos (MA)";"Total";"Total";"1";"Total";"710"
"2108207";"Pedreiras (MA)";"Total";"Total";"1";"Total";"602"
"2108256";"Pedro do Rosário (MA)";"Total";"Total";"1";"Total";"3130"
"2108306";"Penalva (MA)";"Total";"Total";"1";"Total";"2795"
"2108405";"Peri Mirim (MA)";"Total";"Total";"1";"Total";"633"
"2108454";"Peritoró (MA)";"Total";"Total";"1";"Total";"824"
"2108504";"Pindaré-Mirim (MA)";"Total";"Total";"1";"Total";"241"
"2108603";"Pinheiro (MA)";"Total";"Total";"1";"Total";"2186"
"2108702";"Pio XII (MA)";"Total";"Total";"1";"Total";"686"
"2108801";"Pirapemas (MA)";"Total";"Total";"1";"Total";"972"
"2108900";"Poção de Pedras (MA)";"Total";"Total";"1";"Total";"2241"
"2109007";"Porto Franco (MA)";"Total";"Total";"1";"Total";"953"
"2109056";"Porto Rico do Maranhão (MA)";"Total";"Total";"1";"Total";"284"
"2109106";"Presidente Dutra (MA)";"Total";"Total";"1";"Total";"969"
"2109205";"Presidente Juscelino (MA)";"Total";"Total";"1";"Total";"780"
"2109239";"Presidente Médici (MA)";"Total";"Total";"1";"Total";"222"
"2109270";"Presidente Sarney (MA)";"Total";"Total";"1";"Total";"1420"
"2109304";"Presidente Vargas (MA)";"Total";"Total";"1";"Total";"771"
"2109403";"Primeira Cruz (MA)";"Total";"Total";"1";"Total";"452"
"2109452";"Raposa (MA)";"Total";"Total";"1";"Total";"250"
"2109502";"Riachão (MA)";"Total";"Total";"1";"Total";"1515"
"2109551";"Ribamar Fiquene (MA)";"Total";"Total";"1";"Total";"423"
"2109601";"Rosário (MA)";"Total";"Total";"1";"Total";"490"
"2109700";"Sambaíba (MA)";"Total";"Total";"1";"Total";"492"
"2109759";"Santa Filomena do Maranhão (MA)";"Total";"Total";"1";"Total";"334"
"2109809";"Santa Helena (MA)";"Total";"Total";"1";"Total";"1285"
"2109908";"Santa Inês (MA)";"Total";"Total";"1";"Total";"282"
"2110005";"Santa Luzia (MA)";"Total";"Total";"1";"Total";"1961"
"2110039";"Santa Luzia do Paruá (MA)";"Total";"Total";"1";"Total";"833"
"2110104";"Santa Quitéria do Maranhão (MA)";"Total";"Total";"1";"Total";"1370"
"2110203";"Santa Rita (MA)";"Total";"Total";"1";"Total";"1608"
"2110237";"Santana do Maranhão (MA)";"Total";"Total";"1";"Total";"824"
"2110278";"Santo Amaro do Maranhão (MA)";"Total";"Total";"1";"Total";"725"
"2110302";"Santo Antônio dos Lopes (MA)";"Total";"Total";"1";"Total";"1521"
"2110401";"São Benedito do Rio Preto (MA)";"Total";"Total";"1";"Total";"1353"
"2110500";"São Bento (MA)";"Total";"Total";"1";"Total";"1207"
"2110609";"São Bernardo (MA)";"Total";"Total";"1";"Total";"1684"
"2110658";"São Domingos do Azeitão (MA)";"Total";"Total";"1";"Total";"239"
"2110708";"São Domingos do Maranhão (MA)";"Total";"Total";"1";"Total";"1219"
"2110807";"São Félix de Balsas (MA)";"Total";"Total";"1";"Total";"619"
"2110856";"São Francisco do Brejão (MA)";"Total";"Total";"1";"Total";"508"
"2110906";"São Francisco do Maranhão (MA)";"Total";"Total";"1";"Total";"694"
"2111003";"São João Batista (MA)";"Total";"Total";"1";"Total";"2365"
"2111029";"São João do Carú (MA)";"Total";"Total";"1";"Total";"359"
"2111052";"São João do Paraíso (MA)";"Total";"Total";"1";"Total";"1058"
"2111078";"São João do Soter (MA)";"Total";"Total";"1";"Total";"930"
"2111102";"São João dos Patos (MA)";"Total";"Total";"1";"Total";"543"
"2111201";"São José de Ribamar (MA)";"Total";"Total";"1";"Total";"959"
"2111250";"São José dos Basílios (MA)";"Total";"Total";"1";"Total";"738"
"2111300";"São Luís (MA)";"Total";"Total";"1";"Total";"817"
"2111409";"São Luís Gonzaga do Maranhão (MA)";"Total";"Total";"1";"Total";"1622"
"2111508";"São Mateus do Maranhão (MA)";"Total";"Total";"1";"Total";"568"
"2111532";"São Pedro da Água Branca (MA)";"Total";"Total";"1";"Total";"236"
"2111573";"São Pedro dos Crentes (MA)";"Total";"Total";"1";"Total";"519"
"2111607";"São Raimundo das Mangabeiras (MA)";"Total";"Total";"1";"Total";"589"
"2111631";"São Raimundo do Doca Bezerra (MA)";"Total";"Total";"1";"Total";"742"
"2111672";"São Roberto (MA)";"Total";"Total";"1";"Total";"417"
"2111706";"São Vicente Ferrer (MA)";"Total";"Total";"1";"Total";"2009"
"2111722";"Satubinha (MA)";"Total";"Total";"1";"Total";"431"
"2111748";"Senador Alexandre Costa (MA)";"Total";"Total";"1";"Total";"229"
"2111763";"Senador La Rocque (MA)";"Total";"Total";"1";"Total";"509"
"2111789";"Serrano do Maranhão (MA)";"Total";"Total";"1";"Total";"498"
"2111805";"Sítio Novo (MA)";"Total";"Total";"1";"Total";"2036"
"2111904";"Sucupira do Norte (MA)";"Total";"Total";"1";"Total";"710"
"2111953";"Sucupira do Riachão (MA)";"Total";"Total";"1";"Total";"195"
"2112001";"Tasso Fragoso (MA)";"Total";"Total";"1";"Total";"378"
"2112100";"Timbiras (MA)";"Total";"Total";"1";"Total";"1381"
"2112209";"Timon (MA)";"Total";"Total";"1";"Total";"2544"
